year	affected cell IDs (list)
81	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
82	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
83	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
84	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
85	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
86	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
87	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
88	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
89	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
90	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
91	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
92	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
93	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
94	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
95	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
96	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
97	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
98	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
99	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
100	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
